Stock1,Stock2,Moving_average,2016,2017,2018,2019,2020,0
0,0,0,,,,,,0
HDFCBK,AXISBK,12,259.5501708984375,114.87493896484375,347.2752380371094,507.7247314453125,574.300537109375,
HDFCBK,AXISBK,13,250.35028076171875,141.04989624023438,314.8501892089844,457.97479248046875,533.1504821777344,
HDFCBK,AXISBK,14,305.42529296875,31.574920654296875,171.89990234375,463.57470703125,544.650390625,
HDFCBK,AXISBK,15,315.67535400390625,45.52496337890625,132.12493896484375,498.72479248046875,567.75048828125,
HDFCBK,ICICIBK,1,0.0,0.0,0.0,0.0,0.0,
HDFCBK,ICICIBK,2,0.0,0.0,0.0,0.0,0.0,
HDFCBK,ICICIBK,3,93.71812438964844,-23.986373901367188,18.825347900390625,168.95013427734375,130.4998779296875,
HDFCBK,ICICIBK,4,65.85015869140625,-41.98887634277344,-10.14971923828125,271.2995300292969,61.549713134765625,
HDFCBK,ICICIBK,5,78.76152038574219,-20.17724609375,20.699981689453125,255.3494873046875,-0.9000244140625,
HDFCBK,ICICIBK,6,109.82524108886719,-18.136428833007812,32.35003662109375,255.599853515625,-3.300262451171875,
HDFCBK,ICICIBK,7,133.83413696289062,-3.2614288330078125,22.90032958984375,236.59963989257812,94.64996337890625,
HDFCBK,ICICIBK,8,147.34320068359375,-4.2454986572265625,69.7003173828125,258.1495361328125,9.050140380859375,
HDFCBK,ICICIBK,9,131.193115234375,-25.034225463867188,47.975250244140625,269.72454833984375,-1.74969482421875,
HDFCBK,ICICIBK,10,109.41127014160156,-21.031784057617188,20.475250244140625,374.1997375488281,-16.29986572265625,
HDFCBK,ICICIBK,11,118.20684814453125,-6.6113128662109375,71.00018310546875,329.024658203125,-46.099853515625,
HDFCBK,ICICIBK,12,107.93408203125,0.706756591796875,78.25015258789062,306.2494812011719,-8.949981689453125,
HDFCBK,ICICIBK,13,122.44308471679688,-4.1158905029296875,37.525177001953125,364.4493713378906,-92.7999267578125,
HDFCBK,ICICIBK,14,140.19540405273438,-21.2159423828125,23.700164794921875,373.29925537109375,-148.05001831054688,
HDFCBK,ICICIBK,15,146.24093627929688,-30.397674560546875,3.97528076171875,419.54937744140625,-170.5499267578125,
HDFCBK,INDUSINDBK,1,0.0,0.0,0.0,0.0,0.0,
HDFCBK,INDUSINDBK,2,0.0,0.0,0.0,0.0,0.0,
HDFCBK,INDUSINDBK,3,165.52505493164062,55.92529296875,-44.62432861328125,396.4495849609375,-87.84979248046875,
HDFCBK,INDUSINDBK,4,300.27459716796875,159.97515869140625,-207.49969482421875,515.5240478515625,-125.849853515625,
HDFCBK,INDUSINDBK,5,242.07455444335938,107.2506103515625,-169.27490234375,578.1241455078125,-257.4002380371094,
HDFCBK,INDUSINDBK,6,298.47479248046875,55.9002685546875,-0.3748779296875,971.6243896484375,-55.39990234375,
HDFCBK,INDUSINDBK,7,270.52490234375,56.70025634765625,113.02520751953125,705.8497314453125,-72.650390625,
HDFCBK,INDUSINDBK,8,282.89984130859375,-96.54974365234375,139.52532958984375,520.0745849609375,-127.5999755859375,
HDFCBK,INDUSINDBK,9,278.699951171875,-53.84967041015625,85.42547607421875,618.4495849609375,-295.7500915527344,
HDFCBK,INDUSINDBK,10,236.1248779296875,-3.44976806640625,208.32550048828125,443.849853515625,-236.9501953125,
HDFCBK,INDUSINDBK,11,260.82489013671875,31.9002685546875,156.10064697265625,537.974609375,-147.14999389648438,
HDFCBK,INDUSINDBK,12,241.2747802734375,105.17535400390625,116.30072021484375,391.6495361328125,-127.59970092773438,
HDFCBK,INDUSINDBK,13,225.724853515625,122.5504150390625,75.00048828125,404.7247314453125,-162.94976806640625,
HDFCBK,INDUSINDBK,14,256.04974365234375,141.35028076171875,164.275634765625,455.0499267578125,-130.84976196289062,
HDFCBK,INDUSINDBK,15,200.79959106445312,163.375244140625,18.40032958984375,441.9747314453125,-126.14993286132812,
HDFCBK,KOTAKBK,1,0.0,0.0,0.0,0.0,0.0,
HDFCBK,KOTAKBK,2,0.0,0.0,0.0,0.0,0.0,
HDFCBK,KOTAKBK,3,72.44985961914062,178.2000732421875,506.5755615234375,137.199462890625,235.44921875,
HDFCBK,KOTAKBK,4,114.6497802734375,214.0001220703125,454.2501220703125,173.6744384765625,320.1995849609375,
